 vector size (bytes) ,time (s)
       44301 ,  6.604194641113281E-005
       44401 ,  7.009506225585938E-005
       44501 ,  6.580352783203125E-005
       44601 ,  6.914138793945312E-005
       44701 ,  7.104873657226562E-005
       44801 ,  8.010864257812500E-005
       44901 ,  7.295608520507812E-005
       45001 ,  6.508827209472656E-005
       45101 ,  6.389617919921875E-005
       45201 ,  6.699562072753906E-005
       45301 ,  6.794929504394531E-005
       45401 ,  6.294250488281250E-005
       45501 ,  6.699562072753906E-005
       45601 ,  7.200241088867188E-005
       45701 ,  7.700920104980469E-005
       45801 ,  8.201599121093750E-005
       45901 ,  6.890296936035156E-005
       46001 ,  6.699562072753906E-005
       46101 ,  6.604194641113281E-005
       46201 ,  6.794929504394531E-005
       46301 ,  7.009506225585938E-005
       46401 ,  1.029968261718750E-004
       46501 ,  6.818771362304688E-005
       46601 ,  8.010864257812500E-005
       46701 ,  8.296966552734375E-005
       46801 ,  7.414817810058594E-005
       46901 ,  6.604194641113281E-005
       47001 ,  6.890296936035156E-005
       47101 ,  7.200241088867188E-005
       47201 ,  6.890296936035156E-005
       47301 ,  7.200241088867188E-005
       47401 ,  7.486343383789062E-005
       47501 ,  8.106231689453125E-005
       47601 ,  7.700920104980469E-005
       47701 ,  7.104873657226562E-005
       47801 ,  6.699562072753906E-005
       47901 ,  7.510185241699219E-005
       48001 ,  7.200241088867188E-005
       48101 ,  7.009506225585938E-005
       48201 ,  7.605552673339844E-005
       48301 ,  8.797645568847656E-005
       48401 ,  8.392333984375000E-005
       48501 ,  7.104873657226562E-005
       48601 ,  7.009506225585938E-005
       48701 ,  7.390975952148438E-005
       48801 ,  7.295608520507812E-005
       48901 ,  7.319450378417969E-005
       49001 ,  7.200241088867188E-005
       49101 ,  8.296966552734375E-005
       49201 ,  8.606910705566406E-005
       49301 ,  8.082389831542969E-005
       49401 ,  7.200241088867188E-005
       49501 ,  6.985664367675781E-005
       49601 ,  7.390975952148438E-005
       49701 ,  7.390975952148438E-005
       49801 ,  7.319450378417969E-005
       49901 ,  7.700920104980469E-005
       50001 ,  1.039505004882812E-004
       50101 ,  8.511543273925781E-005
       50201 ,  7.295608520507812E-005
       50301 ,  7.081031799316406E-005
       50401 ,  7.486343383789062E-005
       50501 ,  7.200241088867188E-005
       50601 ,  7.390975952148438E-005
       50701 ,  7.700920104980469E-005
       50801 ,  8.797645568847656E-005
       50901 ,  9.489059448242188E-005
       51001 ,  7.390975952148438E-005
       51101 ,  7.104873657226562E-005
       51201 ,  7.700920104980469E-005
       51301 ,  7.390975952148438E-005
       51401 ,  7.486343383789062E-005
       51501 ,  7.605552673339844E-005
       51601 ,  9.012222290039062E-005
       51701 ,  8.487701416015625E-005
       51801 ,  8.392333984375000E-005
       51901 ,  7.390975952148438E-005
       52001 ,  8.106231689453125E-005
       52101 ,  7.605552673339844E-005
       52201 ,  7.700920104980469E-005
       52301 ,  7.700920104980469E-005
       52401 ,  9.083747863769531E-005
       52501 ,  7.796287536621094E-005
       52601 ,  7.700920104980469E-005
       52701 ,  7.414817810058594E-005
       52801 ,  8.201599121093750E-005
       52901 ,  1.170635223388672E-004
       53001 ,  8.320808410644531E-005
       53101 ,  7.820129394531250E-005
       53201 ,  9.298324584960938E-005
       53301 ,  9.393692016601562E-005
       53401 ,  1.080036163330078E-004
       53501 ,  8.010864257812500E-005
       53601 ,  8.106231689453125E-005
       53701 ,  7.891654968261719E-005
       53801 ,  8.082389831542969E-005
       53901 ,  9.608268737792969E-005
       54001 ,  9.703636169433594E-005
       54101 ,  7.796287536621094E-005
       54201 ,  7.891654968261719E-005
       54301 ,  8.106231689453125E-005
       54401 ,  8.106231689453125E-005
       54501 ,  7.987022399902344E-005
       54601 ,  8.010864257812500E-005
       54701 ,  9.703636169433594E-005
       54801 ,  9.417533874511719E-005
       54901 ,  7.915496826171875E-005
       55001 ,  8.893013000488281E-005
       55101 ,  8.296966552734375E-005
       55201 ,  7.820129394531250E-005
       55301 ,  8.201599121093750E-005
       55401 ,  8.916854858398438E-005
       55501 ,  9.799003601074219E-005
       55601 ,  7.987022399902344E-005
       55701 ,  7.820129394531250E-005
       55801 ,  8.893013000488281E-005
       55901 ,  8.702278137207031E-005
       56001 ,  8.606910705566406E-005
       56101 ,  8.296966552734375E-005
       56201 ,  9.989738464355469E-005
       56301 ,  9.393692016601562E-005
       56401 ,  8.106231689453125E-005
       56501 ,  8.201599121093750E-005
       56601 ,  9.107589721679688E-005
       56701 ,  8.201599121093750E-005
       56801 ,  8.296966552734375E-005
       56901 ,  1.018047332763672E-004
       57001 ,  1.010894775390625E-004
       57101 ,  8.606910705566406E-005
       57201 ,  8.010864257812500E-005
       57301 ,  8.606910705566406E-005
       57401 ,  9.298324584960938E-005
       57501 ,  8.583068847656250E-005
       57601 ,  9.202957153320312E-005
       57701 ,  1.029968261718750E-004
       57801 ,  8.487701416015625E-005
       57901 ,  8.416175842285156E-005
       58001 ,  8.797645568847656E-005
       58101 ,  9.417533874511719E-005
       58201 ,  1.251697540283203E-004
       58301 ,  9.703636169433594E-005
       58401 ,  1.039505004882812E-004
       58501 ,  8.511543273925781E-005
       58601 ,  8.392333984375000E-005
       58701 ,  8.797645568847656E-005
       58801 ,  8.177757263183594E-005
       58901 ,  9.703636169433594E-005
       59001 ,  9.322166442871094E-005
       59101 ,  1.089572906494141E-004
       59201 ,  8.702278137207031E-005
       59301 ,  8.487701416015625E-005
       59401 ,  8.893013000488281E-005
       59501 ,  8.487701416015625E-005
       59601 ,  8.797645568847656E-005
       59701 ,  1.699924468994141E-004
       59801 ,  1.001358032226562E-004
       59901 ,  8.606910705566406E-005
       60001 ,  9.107589721679688E-005
       60101 ,  9.393692016601562E-005
       60201 ,  8.821487426757812E-005
       60301 ,  8.916854858398438E-005
       60401 ,  1.080036163330078E-004
       60501 ,  8.797645568847656E-005
       60601 ,  8.797645568847656E-005
       60701 ,  9.107589721679688E-005
       60801 ,  8.797645568847656E-005
       60901 ,  8.988380432128906E-005
       61001 ,  1.130104064941406E-004
       61101 ,  1.070499420166016E-004
       61201 ,  9.393692016601562E-005
       61301 ,  9.083747863769531E-005
       61401 ,  9.298324584960938E-005
       61501 ,  8.988380432128906E-005
       61601 ,  9.107589721679688E-005
       61701 ,  1.108646392822266E-004
       61801 ,  9.679794311523438E-005
       61901 ,  8.916854858398438E-005
       62001 ,  9.584426879882812E-005
       62101 ,  9.179115295410156E-005
       62201 ,  1.540184020996094E-004
       62301 ,  1.120567321777344E-004
       62401 ,  1.399517059326172E-004
       62501 ,  9.107589721679688E-005
       62601 ,  9.393692016601562E-005
       62701 ,  8.606910705566406E-005
       62801 ,  9.298324584960938E-005
       62901 ,  1.111030578613281E-004
       63001 ,  9.703636169433594E-005
       63101 ,  9.417533874511719E-005
       63201 ,  1.189708709716797E-004
       63301 ,  9.608268737792969E-005
       63401 ,  9.012222290039062E-005
       63501 ,  1.659393310546875E-004
       63601 ,  9.489059448242188E-005
       63701 ,  9.393692016601562E-005
       63801 ,  1.158714294433594E-004
